,ct_22_102,ct_22_100,ct_22_99,ct_22_98,ct_22_93,ct_22_91,ct_22_90,ct_22_88,ct_22_77,ct_22_65,ct_22_57,ct_22_55,ct_22_46,ct_22_41,ct_22_31,ct_22_24,ct_22_23,ct_22_18,ct_22_17,ct_22_6,ct_22_5,ct_21_68,ct_21_66,ct_21_65,ct_21_64,ct_21_61,ct_21_60,ct_21_59,ct_21_58,ct_21_56,ct_21_53,ct_21_48,ct_21_40,ct_21_38,ct_21_28,ct_21_22,ct_21_21,ct_21_18,ct_21_8,ct_21_7,ct_20_36,ct_20_35,ct_20_34,ct_20_28,ct_20_6,ct_19_40,ct_19_37,ct_19_26,ct_19_20,ct_19_17,ct_19_7,ct_19_5,ct_19_3,ct_18_9,ct_18_6,ct_18_5,ct_18_3,ct_18_2,ct_17_30,ct_17_23,ct_17_18,ct_17_16,ct_17_8,ct_17_2,ct_16_59,ct_16_58,ct_16_46,ct_16_35,ct_16_34,ct_16_29,ct_16_24,ct_16_22,ct_16_21,ct_16_16,ct_16_14,ct_16_12,ct_16_6,ct_15_36,ct_15_35,ct_15_34,ct_15_26,ct_15_23,ct_15_22,ct_15_20,ct_15_15,ct_15_14,ct_15_6,ct_15_5,ct_14_75,ct_14_73,ct_14_72,ct_14_70,ct_14_63,ct_14_57,ct_14_51,ct_14_48,ct_14_46,ct_14_45,ct_14_44,ct_14_43,ct_14_32,ct_14_30,ct_14_26,ct_14_21,ct_14_19,ct_14_14,ct_14_13,ct_14_4,ct_14_3,ct_13_47,ct_13_46,ct_13_44,ct_13_43,ct_13_42,ct_13_41,ct_13_38,ct_13_37,ct_13_36,ct_13_35,ct_13_33,ct_13_30,ct_13_25,ct_13_16,ct_13_14,ct_13_10,ct_13_9,ct_13_1,ct_12_11,ct_12_10,ct_12_2,ct_11_5,ct_11_3,ct_11_2,ct_10_16,ct_10_3,ct_9_64,ct_9_63,ct_9_62,ct_9_61,ct_9_58,ct_9_56,ct_9_54,ct_9_53,ct_9_51,ct_9_47,ct_9_43,ct_9_36,ct_9_33,ct_9_32,ct_9_25,ct_9_23,ct_9_21,ct_9_19,ct_9_15,ct_9_13,ct_9_12,ct_9_11,ct_9_10,ct_9_8,ct_9_7,ct_9_4,ct_9_2,ct_8_16,ct_8_15,ct_8_11,ct_8_2,ct_7_49,ct_7_48,ct_7_47,ct_7_42,ct_7_41,ct_7_40,ct_7_11,ct_7_9,ct_7_6,ct_7_5,ct_7_3,ct_7_2,ct_6_6,ct_6_5,ct_6_3,ct_6_2,ct_4_15,ct_4_13,ct_3_3,ct_3_2,ct_2_43,ct_2_42,ct_2_40,ct_2_38,ct_2_37,ct_2_35,ct_2_33,ct_2_23,ct_2_22,ct_2_15,ct_2_13,ct_2_5,ct_2_2,ct_1_29,ct_1_28,ct_1_27,ct_1_26,ct_1_24,ct_1_14,ct_1_2,bsat,censat,ct,dhor,gsat,hor,hsat1,hsat2,hsat3,mon,centromere,unique,total
ct_22_102,430750,58613,11522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,802,816,0,0,0,0,0,0,0,0,0,0,11082,0,0,0,18,0,0,0,18,354224,430750
ct_22_100,58613,97652,11174,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6279,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,731,733,0,0,0,0,0,0,0,0,0,0,9964,0,0,0,0,0,0,0,0,18100,97652
ct_22_99,11522,11174,616974,273,0,0,0,0,0,1429,0,0,0,0,117,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,98,0,0,0,140,0,0,0,0,0,0,0,0,0,0,2589,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1983,2487,0,0,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,58,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,68,187,88,0,69,611,0,680,0,556,0,0,0,0,12178,0,0,0,0,0,0,0,0,588366,616974
ct_22_98,0,0,273,156830,0,0,0,0,0,0,0,0,0,0,0,3916,0,0,0,0,0,0,0,0,2512,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,210,2883,5666,0,146,1253,0,211,0,5786,0,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,2562,0,0,3,0,0,0,0,0,0,0,7,0,0,0,7,0,2,1,0,5030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6634,1753,1605,4923,3181,0,1869,0,1867,0,1773,0,0,0,786,17935,0,0,0,0,0,0,0,786,122788,156830
ct_22_93,0,0,0,0,47246,0,0,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2427,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,106,0,0,0,123,3941,0,0,0,0,236,0,0,299,3816,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6926,0,0,0,0,0,0,0,0,37221,47246
ct_22_91,0,0,0,0,0,56785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,38972,36589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41718,0,0,0,0,0,0,0,0,12078,56785
ct_22_90,0,0,0,0,0,0,124899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,80832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21532,0,0,0,0,0,0,0,0,26752,124899
ct_22_88,0,0,0,0,2881,0,0,45991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,232,0,0,0,157,4141,0,0,0,0,307,0,0,272,4034,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35333,0,0,0,0,0,0,0,0,6369,45991
ct_22_77,0,0,0,0,0,0,0,0,47912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4483,0,0,0,0,4787,0,0,0,0,0,0,1123,0,0,0,0,3938,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4648,4421,0,0,0,0,0,0,0,0,0,0,35238,0,4549,0,0,0,0,4110,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4245,0,0,0,0,4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,524,0,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,1016,540,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36508,0,0,0,0,0,0,0,0,10514,47912
ct_22_65,0,26,1429,0,0,0,0,0,0,68151,0,0,0,0,9358,0,0,0,0,0,0,0,64,0,20449,0,0,0,0,0,0,48767,0,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,30513,184,0,0,0,0,0,0,37707,8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,220,0,283,280,0,197,0,182,0,164,0,0,0,805,52006,0,0,0,0,0,0,0,805,12262,68151
